label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv
1,25,5,0.2,4,7,7,0.26087,12,0.48,0.0434783,0,2,4.32386,3,0,3,0,0,2,599.667,424.029,0,5478,4936,61.961
1,19,2,0.105263,2,6,5,0.235294,10,0.526316,0.117647,0,1,4.0374,1,0,0,0,0,1,9192,2273.35,8,5479,5082,59.1636
1,8,2,0.25,2,3,3,0.285714,3,0.375,0.142857,0,1,3,0,0,0,0,0,0,0,0,0,0,0,28.9484
1,14,4,0.285714,4,7,6,0.461538,3,0.214286,0.0769231,0,1,3.6645,4,5,4,4,0.681995,1,43.3333,22.8668,459,4017,2173,68.384
1,11,3,0.272727,3,5,5,0.4,3,0.272727,0.1,0,1,3.45943,3,0,0,2,1,1,299.667,0.471405,368,731,434,78.5978
1,14,5,0.357143,3,5,5,0.75,3,0.214286,0.0833333,0,1,3.52164,1,0,0,0,0,1,599.667,0.471405,0,4383,3653,35.8329
1,9,3,0.333333,3,2,2,0.428571,3,0.333333,0.142857,0,1,3.16993,0,0,0,0,0,0,0,0,0,0,0,9.70659
1,12,2,0.166667,1,5,5,0.4,4,0.333333,0.1,0,1,3.25163,0,0,0,0,0,0,0,0,0,0,0,21.0548
1,14,1,0.0714286,1,6,5,0.166667,6,0.428571,0.0833333,0,1,3.52164,2,5,1,2,1,2,39.6667,28.0515,97,1096,724,15.643
1,18,5,0.277778,3,10,9,0.5,2,0.111111,0.0625,0,1,3.83659,1,0,1,4,0.916667,1,10799.7,0.471405,486,3653,3653,38.7853
1,10,3,0.3,2,5,4,0.555556,2,0.2,0.111111,0,1,2.92193,1,1,1,4,0.9375,1,14400,0,658,365,120,13.4594
1,19,0,0,0,0,0,0,15,0.789474,0,3,1,3.26083,0,0,0,0,0,0,0,0,0,0,0,-0.432959
1,26,4,0.153846,3,13,10,0.363636,5,0.192308,0.136364,1,2,4.02699,1,0,1,0,0,1,299.667,0.471405,0,4383,3940,68.1789
1,13,0,0,0,0,0,0,13,1,0,0,0,2.14162,0,0,0,0,0,0,0,0,0,0,0,-5.55042
1,25,3,0.12,2,6,4,0.26087,15,0.6,0.0434783,0,1,3.78347,2,0,2,0,0,1,60,0,570,3653,3341,72.7825
1,35,7,0.2,3,12,8,0.344828,11,0.314286,0.0344828,0,2,3.95444,1,0,1,0,0,1,64799.7,30547.5,0,4748,4350,187.165
1,4,0,0,0,2,2,0,2,0.5,0.333333,0,1,2,0,0,0,0,0,0,0,0,0,0,0,-1.58496
1,14,3,0.214286,2,4,3,0.5,6,0.428571,0.0833333,0,1,3.03915,1,0,0,0,0,1,599.667,0.471405,60,365,0,14.992
1,31,2,0.0645161,2,12,9,0.166667,11,0.354839,0.0416667,0,1,3.95357,1,0,1,0,0,1,64799.7,30547.5,0,0,0,44.4199
1,14,4,0.285714,4,6,4,0.461538,4,0.285714,0.0769231,0,1,3.37878,1,2,1,4,0.952381,1,1799.5,0.5,0,0,0,85.642
1,18,4,0.222222,2,10,7,0.5,3,0.166667,0.0625,0,1,3.61437,3,0,4,0,0,2,199.667,141.186,88,7670,7272,116.177
1,17,6,0.352941,3,8,6,0.5625,3,0.176471,0.0625,0,1,3.45482,1,1,1,2,1,1,14399.7,0.471405,426,1461,730,144.652
1,22,2,0.0909091,2,5,4,0.2,11,0.5,0.05,3,1,3.75444,2,0,1,0,0,2,2399.67,1696.82,0,1461,388,11.5393
1,13,0,0,0,0,0,0,10,0.769231,0,3,1,2.71929,1,0,1,2,1,1,10799.7,0.471405,0,366,0,-3.92481
1,24,6,0.25,3,10,6,0.545455,7,0.291667,0.0454545,0,1,3.68872,0,0,0,0,0,0,0,0,555,5844,2211,161.351
1,21,6,0.285714,3,11,7,0.578947,3,0.142857,0.0526316,0,1,3.59447,3,0,4,0,0,2,199.667,141.186,106,0,0,130.932
1,13,3,0.230769,3,7,6,0.545455,2,0.153846,0.0909091,0,1,3.54659,1,0,1,0,0,1,899.667,0.471405,13,0,0,39.3256
1,9,0,0,0,1,1,0,7,0.777778,0.142857,0,1,2.9477,3,0,3,2,1,2,39.6667,28.0515,57,4748,1350,-2.16993
1,8,0,0,0,0,0,0,8,1,0,0,0,2,3,0,0,2,1,1,299.667,0.471405,0,365,55,-17.2992
1,19,0,0,0,0,0,0,15,0.789474,0,3,1,3.14164,0,0,0,0,0,0,0,0,0,0,0,1.3744
1,9,0,0,0,0,0,0,9,1,0,0,0,2.72548,0,0,0,0,0,0,0,0,0,0,0,-3.75489
1,9,0,0,0,5,4,0,3,0.333333,0.428571,0,1,2.9477,3,0,1,0,0,2,199.667,141.186,0,0,0,2.9386
1,7,1,0.142857,1,4,4,0.333333,2,0.285714,0.166667,0,1,2.80735,1,1,1,2,1,1,14399.7,0.471405,31,731,373,30.529
1,18,6,0.333333,4,9,9,0.625,2,0.111111,0.1875,0,1,3.83659,0,0,0,0,0,0,0,0,486,3653,3653,53.0395
1,20,6,0.3,4,12,8,0.611111,1,0.05,0.0555556,0,1,3.68418,3,0,4,0,0,2,199.667,141.186,106,7670,7272,131.295
1,8,1,0.125,1,5,5,0.285714,1,0.125,0.142857,1,1,3,3,0,0,2,1,1,299.667,0.471405,50,365,0,4.9753
1,4,1,0.25,1,2,2,0.666667,1,0.25,0.333333,0,1,2,1,2,1,3,0.825397,1,899.5,0.5,522,0,0,5.23522
1,4,0,0,0,3,3,0,1,0.25,0.333333,0,1,2,1,0,1,4,0.831303,1,44.3333,13.5236,0,2922,2524,0.584963
1,12,4,0.333333,3,7,7,0.727273,1,0.0833333,0.0909091,0,1,3.4183,1,0,1,0,0,1,0,0,0,0,0,95.4819
1,13,4,0.307692,2,8,6,0.666667,1,0.0769231,0.0833333,0,1,3.08506,1,2,0,2,1,1,599.667,0.471405,201,2922,2561,112.733
