label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
1,11,4,0.363636,1,7,5,0.8,0,0,0,0,1,2.36852,0,0,0,0,0,0,0,0,0,0,0,27.9893,0,0,0,0,0,0,0
1,13,4,0.307692,2,9,7,0.5,0,0,0,0,2,3.02699,0,0,0,0,0,0,0,0,0,0,0,59.6243,0,0,0,0,0,0,0
1,15,2,0.133333,2,5,4,0.230769,7,0.466667,0.153846,0,1,3.64022,0,0,0,0,0,0,0,0,0,4018,4018,3.15163,0,0,0,0,0,0,0
1,13,5,0.384615,2,8,7,0.833333,0,0,0,0,1,3.02699,12,1,12,2,1,1,600,0,7,365,5,89.644,0,1,100,0,0,0,0
1,10,5,0.5,3,5,4,0.666667,0,0,0,0,1,2.64644,0,0,0,0,0,0,0,0,0,0,0,47.2142,0,0,0,0,0,0,0
1,20,8,0.4,4,12,11,0.842105,0,0,0,0,1,3.78418,6,0,6,2,1,1,59,1.41421,439,4748,3988,145.287,0,71,48.6301,0,0,0,0
1,13,5,0.384615,3,8,7,0.75,0,0,0,0,1,3.18083,0,0,0,0,0,0,0,0,0,0,0,42.2242,0,0,0,0,0,0,0
1,14,4,0.285714,3,10,6,0.615385,0,0,0,0,2,3.09307,1,3,0,4,0.881743,1,32800,7919.6,0,365,0,97.598,0,0,0,0,0,0,0
1,11,3,0.272727,3,8,6,0.6,0,0,0,0,1,3.0958,6,0,6,2,1,1,41.6667,25.9272,399,2191,1826,91.1731,0,65,46.0993,0,0,0,0
1,17,5,0.294118,2,12,6,0.5625,0,0,0,0,3,2.65426,0,0,0,0,0,0,0,0,0,0,0,193.092,0,0,0,0,0,0,0
